OBJECTID,SOURCE_ID,geography_fx,gis_fx,giscience_fx,geoscience_fx,geospatial_fx,CLUSTER_ID,IS_SEED,STATE,Program,INSTITUTION,IN_GUIDE,deptlabor_stat,lat,long
97,97,33,3,1,0,6,5,0,South Carolina,D,University of South Carolina,Y,,33.99771881,-81.03015137
98,98,27,3,0,0,7,5,0,South Dakota,D,South Dakota State University,Y,,44.32046127,-96.78833771
99,99,6,1,0,6,6,6,0,Tennessee,B,East Tennessee State University,N,,36.30443954,-82.36627197
100,100,12,6,8,0,0,2,0,Tennessee,D,"University of Tennessee, Knoxville",Y,,35.95249939,-83.92707062
101,101,9,0,0,0,0,1,0,Tennessee,M,Middle Tennessee State University,Y,,35.84606171,-86.36908722
102,102,3,2,0,0,0,1,0,Texas,B,Texas Christian University,Y,,32.70885086,-97.36048889
103,103,4,3,0,0,0,1,0,Texas,D,University of Texas at Austin,Y,,30.27869987,-97.73246002
104,104,12,2,0,0,0,1,0,Texas,M,University of Texas at San Antonio,Y,,29.5850296,-98.61723328
105,105,17,4,0,0,10,6,0,Utah,B,Bringham Young University,N,1,40.25238037,-111.6501465
106,106,5,2,0,0,1,1,0,Utah,D,University of Utah,Y,,40.76522827,-111.849472
107,107,20,2,0,0,1,1,0,Utah,M,Utah State University,Y,,41.74094009,-111.8147125
108,108,26,2,0,0,2,5,0,Vermont,B,Middlebury College,Y,,44.00910187,-73.17626953
109,109,8,1,0,0,0,1,0,Vermont,B,University of Vermont,Y,,44.47544098,-73.20063019
110,110,7,1,0,0,0,1,0,Virginia,B,Emory & Henry College,N,,36.77244186,-81.83273315
111,111,5,1,0,0,2,1,1,Virginia,D,Virginia Tech,Y,,36.8747406,-76.17434692
112,112,6,7,0,0,7,6,0,Virginia,M,University of Mary Washington,Y,,38.30065155,-77.47319794
113,113,14,6,0,0,1,1,0,Washington,D,University of Washington,Y,,47.6565094,-122.312088
114,114,7,3,1,0,1,1,0,Washington,M,Central Washington University,Y,,46.9997406,-120.5431137
115,115,6,3,0,0,0,1,0,Washington,M,Eastern Washington University,Y,,47.48973846,-117.5782166
116,116,2,15,0,0,0,1,0,Wisconsin,B,"University of Wisconsin, Oshkosh",Y,,44.02627182,-88.55166626
117,117,9,4,0,0,8,6,0,Wisconsin,B,Carthage College,N,1,42.62340164,-87.82440948
118,118,30,13,0,0,0,5,0,Wisconsin,D,"University of Wisconsin, Madison",Y,,43.07584,-89.39756775
119,119,8,1,0,0,6,6,0,West Virginia,B,Concord University,Y,,37.42499924,-81.00440979
120,120,13,0,0,0,0,1,0,West Virginia,D,West Virginia University,Y,,39.63373947,-79.95510864
121,121,17,5,3,0,0,1,1,West Virginia,M,Marshall University,Y,,38.42234039,-82.42987823
122,122,24,3,0,0,3,5,0,Wyoming,M,University of Wyoming,Y,,41.31135941,-105.5826492
